iso,SID,P_2019,GR_SID,area
vnm,10443,9574,644,819
vnm,10456,16538,644,1606
vnm,10444,11625,644,654
vnm,10446,6815,644,737
vnm,10445,9302,644,411
vnm,10448,10605,644,1373
vnm,10450,9629,644,2352
vnm,10449,14819,644,4393
vnm,10451,8711,644,1599
vnm,10447,11814,644,1108
vnm,10453,6744,644,2254
vnm,10455,9989,644,692
vnm,10452,10078,644,4613
vnm,10454,10907,644,1153
vnm,10558,17411,651,3663
vnm,10557,13232,651,1712
vnm,10544,11064,651,274
vnm,10559,17876,651,2584
vnm,10561,19431,651,1949
vnm,10560,18962,651,2121
vnm,10546,25256,651,2691
vnm,10551,17155,651,2593
vnm,10548,14987,651,1833
vnm,10550,17357,651,1992
vnm,10555,16316,651,1854
vnm,10556,12499,651,1811
vnm,10553,10734,651,1362
vnm,10547,23088,651,2592
vnm,10552,17467,651,2291
vnm,10545,13314,651,1077
vnm,10554,23301,651,2925
vnm,10549,16098,651,2241
vnm,10437,21530,643,557
vnm,10436,25180,643,1310
vnm,10439,19377,643,1542
vnm,10442,4484,643,2576
vnm,10438,15277,643,835
vnm,10440,7189,643,886
vnm,10441,6675,643,3767
vnm,10501,8112,647,3608
vnm,10496,14983,647,2690
vnm,10497,20423,647,3779
vnm,10500,7350,647,4974
vnm,10498,15010,647,1074
vnm,10489,16609,647,633
vnm,10499,11259,647,6039
vnm,10490,22409,647,1989
vnm,10491,19537,647,4424
vnm,10492,17522,647,3811
vnm,10493,10436,647,8419
vnm,10495,17250,647,3898
vnm,10494,23984,647,2935
vnm,10531,22575,650,1187
vnm,10532,14298,650,1747
vnm,10537,20089,650,2433
vnm,10535,6191,650,456
vnm,10533,17406,650,4217
vnm,10539,10682,650,3743
vnm,10542,3612,650,2807
vnm,10538,8938,650,3404
vnm,10536,8942,650,4687
vnm,10534,12889,650,4025
vnm,10540,5150,650,3018
vnm,10541,6374,650,4315
vnm,10543,12768,650,2796
vnm,10427,20001,642,1213
vnm,10428,30789,642,706
vnm,10425,12673,642,135
vnm,10423,14748,642,110
vnm,10433,32792,642,1779
vnm,10435,21309,642,1294
vnm,10434,11249,642,1002
vnm,10424,16338,642,111
vnm,10429,30235,642,438
vnm,10430,14636,642,505
vnm,10432,25581,642,1473
vnm,10431,26090,642,2182
vnm,10426,10453,642,60
vnm,10486,12592,646,1335
vnm,10471,13509,646,1828
vnm,10482,8110,646,2584
vnm,10478,13920,646,2715
vnm,10473,9083,646,945
vnm,10480,10782,646,2136
vnm,10483,12779,646,2326
vnm,10476,5261,646,1670
vnm,10485,12550,646,1884
vnm,10475,10531,646,1610
vnm,10474,5014,646,2202
vnm,10470,19619,646,767
vnm,10477,11636,646,3004
vnm,10484,11176,646,1826
vnm,10479,9112,646,2490
vnm,10481,4889,646,2125
vnm,10487,6648,646,1039
vnm,10488,10050,646,588
vnm,10510,8642,648,5206
vnm,10514,11646,648,6129
vnm,10511,3594,648,3657
vnm,10506,8386,648,2490
vnm,10503,6052,648,769
vnm,10502,11558,648,670
vnm,10505,4813,648,2057
vnm,10504,4233,648,1590
vnm,10508,13811,648,2405
vnm,10515,4856,648,3408
vnm,10513,7601,648,3438
vnm,10507,7866,648,2777
vnm,10509,6203,648,3071
vnm,10512,7544,648,2848
vnm,10467,18989,645,2269
vnm,10469,6888,645,1730
vnm,10465,9012,645,1526
vnm,10459,7800,645,266
vnm,10458,11115,645,103
vnm,10466,11622,645,1459
vnm,10472,9019,645,1535
vnm,10457,13710,645,372
vnm,10460,3818,645,1480
